"word","tag"
"我","TOCFL Novice 1"
"你/妳","TOCFL Novice 1"
"他/她","TOCFL Novice 1"
"我們","TOCFL Novice 1"
"你們/妳們","TOCFL Novice 1"
"他們/她們","TOCFL Novice 1"
"您","TOCFL Novice 1"
"誰","TOCFL Novice 1"
"姓名","TOCFL Novice 1"
"人","TOCFL Novice 1"
"國","TOCFL Novice 1"
"中國","TOCFL Novice 1"
"美國","TOCFL Novice 1"
"日本","TOCFL Novice 1"
"台灣/臺灣","TOCFL Novice 1"
"名字(˙ㄗ)","TOCFL Novice 1"
"家","TOCFL Novice 1"
"電話","TOCFL Novice 1"
"時間","TOCFL Novice 1"
"小時","TOCFL Novice 1"
"現在","TOCFL Novice 1"
"今年","TOCFL Novice 1"
"今天","TOCFL Novice 1"
"明天","TOCFL Novice 1"
"昨天","TOCFL Novice 1"
"早上","TOCFL Novice 1"
"上午","TOCFL Novice 1"
"中午","TOCFL Novice 1"
"下午","TOCFL Novice 1"
"晚上","TOCFL Novice 1"
"一","TOCFL Novice 1"
"二","TOCFL Novice 1"
"三","TOCFL Novice 1"
"四","TOCFL Novice 1"
"五","TOCFL Novice 1"
"六","TOCFL Novice 1"
"七","TOCFL Novice 1"
"八","TOCFL Novice 1"
"九","TOCFL Novice 1"
"十","TOCFL Novice 1"
"兩","TOCFL Novice 1"
"時候","TOCFL Novice 1"
"百","TOCFL Novice 1"
"半","TOCFL Novice 1"
"千","TOCFL Novice 1"
"爸爸/爸","TOCFL Novice 1"
"媽媽/媽","TOCFL Novice 1"
"哥哥/哥","TOCFL Novice 1"
"弟弟/弟","TOCFL Novice 1"
"姊姊/姐姐/姊/姐","TOCFL Novice 1"
"妹妹/妹","TOCFL Novice 1"
"小孩(子)","TOCFL Novice 1"
"的","TOCFL Novice 1"
"第","TOCFL Novice 1"
"分","TOCFL Novice 1"
"點","TOCFL Novice 1"
"個","TOCFL Novice 1"
"歲","TOCFL Novice 1"
"年","TOCFL Novice 1"
"住","TOCFL Novice 1"
"來","TOCFL Novice 1"
"是","TOCFL Novice 1"
"姓","TOCFL Novice 1"
"覺得","TOCFL Novice 1"
"喜歡","TOCFL Novice 1"
"打電話","TOCFL Novice 1"
"漂亮","TOCFL Novice 1"
"高","TOCFL Novice 1"
"老","TOCFL Novice 1"
"好","TOCFL Novice 1"
"很","TOCFL Novice 1"
"真","TOCFL Novice 1"
"電腦","TOCFL Novice 1"
"老師","TOCFL Novice 1"
"買","TOCFL Novice 1"
"忙","TOCFL Novice 1"
"學生","TOCFL Novice 1"
"大學","TOCFL Novice 1"
"學校","TOCFL Novice 1"
"中文","TOCFL Novice 1"
"同學","TOCFL Novice 1"
"字","TOCFL Novice 1"
"筆","TOCFL Novice 1"
"學","TOCFL Novice 1"
"問","TOCFL Novice 1"
"說","TOCFL Novice 1"
"寫","TOCFL Novice 1"
"聽","TOCFL Novice 1"
"對","TOCFL Novice 1"
"能","TOCFL Novice 1"
"可以","TOCFL Novice 1"
"上課","TOCFL Novice 1"
"知道","TOCFL Novice 1"
"電視(機)","TOCFL Novice 1"
"水","TOCFL Novice 1"
"久","TOCFL Novice 1"
"早","TOCFL Novice 1"
"再","TOCFL Novice 1"
"書","TOCFL Novice 1"
"電影","TOCFL Novice 1"
"以前","TOCFL Novice 1"
"以後","TOCFL Novice 1"
"走","TOCFL Novice 1"
"等","TOCFL Novice 1"
"看","TOCFL Novice 1"
"就","TOCFL Novice 1"
"什麼/甚麼","TOCFL Novice 1"
"朋友","TOCFL Novice 1"
"東西","TOCFL Novice 1"
"吧","TOCFL Novice 1"
"呢","TOCFL Novice 1"
"嗎","TOCFL Novice 1"
"找","TOCFL Novice 1"
"做","TOCFL Novice 1"
"再見","TOCFL Novice 1"
"怎麼樣","TOCFL Novice 1"
"叫","TOCFL Novice 1"
"謝謝","TOCFL Novice 1"
"對不起","TOCFL Novice 1"
"請問","TOCFL Novice 1"
"這","TOCFL Novice 1"
"那","TOCFL Novice 1"
"公共汽車/公車","TOCFL Novice 1"
"車(子)","TOCFL Novice 1"
"到","TOCFL Novice 1"
"去","TOCFL Novice 1"
"回","TOCFL Novice 1"
"坐","TOCFL Novice 1"
"這裡/這裏/這兒","TOCFL Novice 1"
"那裡/那裏/那兒","TOCFL Novice 1"
"哪裡/哪裏/哪兒","TOCFL Novice 1"
"開車","TOCFL Novice 1"
"錢","TOCFL Novice 1"
"多少","TOCFL Novice 1"
"給","TOCFL Novice 1"
"貴","TOCFL Novice 1"
"便宜","TOCFL Novice 1"
"大","TOCFL Novice 1"
"小","TOCFL Novice 1"
"難","TOCFL Novice 1"
"容易","TOCFL Novice 1"
"有","TOCFL Novice 1"
"想","TOCFL Novice 1"
"幾","TOCFL Novice 1"
"塊","TOCFL Novice 1"
"位","TOCFL Novice 1"
"飯","TOCFL Novice 1"
"吃","TOCFL Novice 1"
"請","TOCFL Novice 1"
"也","TOCFL Novice 1"
"不","TOCFL Novice 1"
"沒","TOCFL Novice 1"
"都","TOCFL Novice 1"
"只","TOCFL Novice 1"
"可是","TOCFL Novice 1"
"還是","TOCFL Novice 1"
"了","TOCFL Novice 1"
"得","TOCFL Novice 1"
"過","TOCFL Novice 1"
"沒有","TOCFL Novice 1"
"男","TOCFL Novice 2"
"女","TOCFL Novice 2"
"孩子","TOCFL Novice 2"
"小姐","TOCFL Novice 2"
"先生","TOCFL Novice 2"
"太太","TOCFL Novice 2"
"女兒","TOCFL Novice 2"
"兒子","TOCFL Novice 2"
"大家","TOCFL Novice 2"
"路","TOCFL Novice 2"
"手機","TOCFL Novice 2"
"明年","TOCFL Novice 2"
"去年","TOCFL Novice 2"
"生日","TOCFL Novice 2"
"月","TOCFL Novice 2"
"日","TOCFL Novice 2"
"星期","TOCFL Novice 2"
"星期天/星期日","TOCFL Novice 2"
"禮拜天","TOCFL Novice 2"
"週末/周末","TOCFL Novice 2"
"號","TOCFL Novice 2"
"天","TOCFL Novice 2"
"從","TOCFL Novice 2"
"在","TOCFL Novice 2"
"愛","TOCFL Novice 2"
"快樂","TOCFL Novice 2"
"太","TOCFL Novice 2"
"公園","TOCFL Novice 2"
"國家","TOCFL Novice 2"
"分鐘","TOCFL Novice 2"
"家人","TOCFL Novice 2"
"胖","TOCFL Novice 2"
"矮","TOCFL Novice 2"
"瘦","TOCFL Novice 2"
"萬","TOCFL Novice 2"
"鐘頭","TOCFL Novice 2"
"晚","TOCFL Novice 2"
"前天","TOCFL Novice 2"
"後天","TOCFL Novice 2"
"前年","TOCFL Novice 2"
"後年","TOCFL Novice 2"
"自己","TOCFL Novice 2"
"它","TOCFL Novice 2"
"它們","TOCFL Novice 2"
"最","TOCFL Novice 2"
"怕","TOCFL Novice 2"
"美","TOCFL Novice 2"
"應該/應","TOCFL Novice 2"
"真的","TOCFL Novice 2"
"工作","TOCFL Novice 2"
"醫生/醫師","TOCFL Novice 2"
"一點/一點兒/一點點","TOCFL Novice 2"
"一些","TOCFL Novice 2"
"本","TOCFL Novice 2"
"張","TOCFL Novice 2"
"英文","TOCFL Novice 2"
"紙","TOCFL Novice 2"
"問題","TOCFL Novice 2"
"意思","TOCFL Novice 2"
"餐廳/飯館","TOCFL Novice 2"
"畫/畫兒","TOCFL Novice 2"
"讀","TOCFL Novice 2"
"會","TOCFL Novice 2"
"為什麼","TOCFL Novice 2"
"下課","TOCFL Novice 2"
"說話","TOCFL Novice 2"
"考試","TOCFL Novice 2"
"懂","TOCFL Novice 2"
"念/唸","TOCFL Novice 2"
"課","TOCFL Novice 2"
"教","TOCFL Novice 2"
"告訴","TOCFL Novice 2"
"錯","TOCFL Novice 2"
"門口","TOCFL Novice 2"
"枝","TOCFL Novice 2"
"牛","TOCFL Novice 2"
"豬","TOCFL Novice 2"
"雨","TOCFL Novice 2"
"空氣","TOCFL Novice 2"
"功課","TOCFL Novice 2"
"教室","TOCFL Novice 2"
"句子","TOCFL Novice 2"
"休息","TOCFL Novice 2"
"非常","TOCFL Novice 2"
"房(子)","TOCFL Novice 2"
"房間","TOCFL Novice 2"
"樓","TOCFL Novice 2"
"門","TOCFL Novice 2"
"桌(子)","TOCFL Novice 2"
"椅(子)","TOCFL Novice 2"
"床","TOCFL Novice 2"
"開","TOCFL Novice 2"
"低","TOCFL Novice 2"
"不錯","TOCFL Novice 2"
"天氣","TOCFL Novice 2"
"冷","TOCFL Novice 2"
"熱","TOCFL Novice 2"
"下雨","TOCFL Novice 2"
"風","TOCFL Novice 2"
"山","TOCFL Novice 2"
"花/花兒","TOCFL Novice 2"
"魚","TOCFL Novice 2"
"雞","TOCFL Novice 2"
"咖啡","TOCFL Novice 2"
"茶","TOCFL Novice 2"
"用","TOCFL Novice 2"
"穿","TOCFL Novice 2"
"起床","TOCFL Novice 2"
"方便","TOCFL Novice 2"
"睡覺","TOCFL Novice 2"
"起來","TOCFL Novice 2"
"先","TOCFL Novice 2"
"常常/常","TOCFL Novice 2"
"每","TOCFL Novice 2"
"打","TOCFL Novice 2"
"玩","TOCFL Novice 2"
"運動","TOCFL Novice 2"
"走路","TOCFL Novice 2"
"唱歌","TOCFL Novice 2"
"跳","TOCFL Novice 2"
"還","TOCFL Novice 2"
"唱","TOCFL Novice 2"
"歌","TOCFL Novice 2"
"跳舞","TOCFL Novice 2"
"又","TOCFL Novice 2"
"球","TOCFL Novice 2"
"介紹","TOCFL Novice 2"
"沒關係(˙ㄒㄧ)","TOCFL Novice 2"
"事/事兒","TOCFL Novice 2"
"怎麼","TOCFL Novice 2"
"哪","TOCFL Novice 2"
"裡面/裏面","TOCFL Novice 2"
"上(面)","TOCFL Novice 2"
"下(面)","TOCFL Novice 2"
"外(面)","TOCFL Novice 2"
"外頭(˙ㄊㄡ)","TOCFL Novice 2"
"前(面)","TOCFL Novice 2"
"後(面)","TOCFL Novice 2"
"左(邊)","TOCFL Novice 2"
"右(邊)","TOCFL Novice 2"
"旁(邊)","TOCFL Novice 2"
"裡/裏","TOCFL Novice 2"
"中","TOCFL Novice 2"
"地方","TOCFL Novice 2"
"附近","TOCFL Novice 2"
"帶","TOCFL Novice 2"
"拿","TOCFL Novice 2"
"站","TOCFL Novice 2"
"快","TOCFL Novice 2"
"慢","TOCFL Novice 2"
"計程車","TOCFL Novice 2"
"火車","TOCFL Novice 2"
"飛機","TOCFL Novice 2"
"輛","TOCFL Novice 2"
"出","TOCFL Novice 2"
"進","TOCFL Novice 2"
"外國","TOCFL Novice 2"
"手","TOCFL Novice 2"
"腳","TOCFL Novice 2"
"身體","TOCFL Novice 2"
"眼睛","TOCFL Novice 2"
"鼻(子)","TOCFL Novice 2"
"藥","TOCFL Novice 2"
"累","TOCFL Novice 2"
"頭","TOCFL Novice 2"
"耳朵","TOCFL Novice 2"
"感冒","TOCFL Novice 2"
"生病","TOCFL Novice 2"
"餓","TOCFL Novice 2"
"痛","TOCFL Novice 2"
"嘴巴/嘴","TOCFL Novice 2"
"病","TOCFL Novice 2"
"看病","TOCFL Novice 2"
"元","TOCFL Novice 2"
"鞋(子)","TOCFL Novice 2"
"衣服/衣","TOCFL Novice 2"
"比","TOCFL Novice 2"
"要","TOCFL Novice 2"
"長","TOCFL Novice 2"
"新","TOCFL Novice 2"
"一樣","TOCFL Novice 2"
"見","TOCFL Novice 2"
"看見","TOCFL Novice 2"
"聽見","TOCFL Novice 2"
"店","TOCFL Novice 2"
"短","TOCFL Novice 2"
"飽","TOCFL Novice 2"
"舊","TOCFL Novice 2"
"像","TOCFL Novice 2"
"一共/共","TOCFL Novice 2"
"夠","TOCFL Novice 2"
"筷(子)","TOCFL Novice 2"
